Invoice_ID,Customer_Name,Invoice_Amount,Amount_Paid,Outstanding_Amount,Days_Delayed,SLA_Penalty,Invoice_Status,outstanding,leakage,risk_level
1,Customer_9,97489,92406,5083,20,12548,Pending,5083,17631,Medium
2,Customer_17,83340,14664,68676,20,3196,Pending,68676,71872,Medium
3,Customer_1,60985,34600,26385,5,8369,Pending,26385,34754,Low
4,Customer_10,78538,7447,71091,5,6165,Pending,71091,77256,Low
5,Customer_2,71182,3342,67840,20,3554,Pending,67840,71394,Medium
6,Customer_9,52383,14100,38283,45,7568,Pending,38283,45851,High
7,Customer_14,69866,1764,68102,15,2809,Pending,68102,70911,Low
8,Customer_8,136414,10921,125493,60,9282,Pending,125493,134775,High
9,Customer_14,94919,51532,43387,60,7081,Pending,43387,50468,High
10,Customer_9,45165,1233,43932,5,10549,Pending,43932,54481,Low
11,Customer_4,69561,20552,49009,10,2648,Pending,49009,51657,Low
12,Customer_4,117499,11395,106104,60,8899,Pending,106104,115003,High
13,Customer_13,170960,129255,41705,15,14563,Pending,41705,56268,Low
14,Customer_13,75711,17101,58610,10,12230,Pending,58610,70840,Low
15,Customer_2,168158,15082,153076,45,7255,Pending,153076,160331,High
16,Customer_18,168833,3154,165679,30,10804,Pending,165679,176483,Medium
17,Customer_19,164418,81434,82984,0,0,Pending,82984,82984,Low
18,Customer_9,148069,85270,62799,15,8041,Pending,62799,70840,Low
19,Customer_3,165884,110459,55425,10,6051,Pending,55425,61476,Low
20,Customer_6,183000,80993,102007,60,10369,Pending,102007,112376,High
21,Customer_12,120606,80486,40120,15,11687,Pending,40120,51807,Low
22,Customer_16,40769,40588,181,60,7453,Pending,181,7634,High
23,Customer_8,132668,39502,93166,60,9590,Pending,93166,102756,High
24,Customer_13,196640,100760,95880,30,6230,Pending,95880,102110,Medium
25,Customer_1,196000,27123,168877,0,0,Pending,168877,168877,Low
26,Customer_19,178165,52685,125480,20,6337,Pending,125480,131817,Medium
27,Customer_13,57276,34290,22986,0,0,Pending,22986,22986,Low
28,Customer_3,66738,55314,11424,45,2744,Pending,11424,14168,High
29,Customer_6,30568,16027,14541,30,3106,Pending,14541,17647,Medium
30,Customer_3,114246,31264,82982,15,14110,Pending,82982,97092,Low
31,Customer_8,48700,29428,19272,45,6976,Pending,19272,26248,High
32,Customer_14,185228,16268,168960,20,8075,Pending,168960,177035,Medium
33,Customer_11,169280,79295,89985,5,7269,Pending,89985,97254,Low
34,Customer_7,45624,21675,23949,0,0,Pending,23949,23949,Low
35,Customer_2,196477,138295,58182,15,3260,Pending,58182,61442,Low
