Invoice_ID,Customer_Name,Invoice_Amount,Amount_Paid,Outstanding_Amount,Days_Delayed,SLA_Penalty,Invoice_Status
1,Customer_9,97489,92406,5083,20,12548,Pending
2,Customer_17,83340,14664,68676,20,3196,Pending
3,Customer_1,60985,34600,26385,5,8369,Pending
4,Customer_10,78538,7447,71091,5,6165,Pending
5,Customer_2,71182,3342,67840,20,3554,Pending
6,Customer_9,52383,14100,38283,45,7568,Pending
7,Customer_14,69866,1764,68102,15,2809,Pending
8,Customer_8,136414,10921,125493,60,9282,Pending
9,Customer_14,94919,51532,43387,60,7081,Pending
10,Customer_9,45165,1233,43932,5,10549,Pending
11,Customer_4,69561,20552,49009,10,2648,Pending
12,Customer_4,117499,11395,106104,60,8899,Pending
13,Customer_13,170960,129255,41705,15,14563,Pending
14,Customer_13,75711,17101,58610,10,12230,Pending
15,Customer_2,168158,15082,153076,45,7255,Pending
16,Customer_18,168833,3154,165679,30,10804,Pending
17,Customer_19,164418,81434,82984,0,0,Pending
18,Customer_9,148069,85270,62799,15,8041,Pending
19,Customer_3,165884,110459,55425,10,6051,Pending
20,Customer_6,183000,80993,102007,60,10369,Pending
21,Customer_12,120606,80486,40120,15,11687,Pending
22,Customer_16,40769,40588,181,60,7453,Pending
23,Customer_8,132668,39502,93166,60,9590,Pending
24,Customer_13,196640,100760,95880,30,6230,Pending
25,Customer_1,196000,27123,168877,0,0,Pending
26,Customer_19,178165,52685,125480,20,6337,Pending
27,Customer_13,57276,34290,22986,0,0,Pending
28,Customer_3,66738,55314,11424,45,2744,Pending
29,Customer_6,30568,16027,14541,30,3106,Pending
30,Customer_3,114246,31264,82982,15,14110,Pending
31,Customer_8,48700,29428,19272,45,6976,Pending
32,Customer_14,185228,16268,168960,20,8075,Pending
33,Customer_11,169280,79295,89985,5,7269,Pending
34,Customer_7,45624,21675,23949,0,0,Pending
35,Customer_2,196477,138295,58182,15,3260,Pending
36,Customer_1,55210,46612,8598,20,3951,Pending
37,Customer_17,150471,69619,80852,20,6027,Pending
38,Customer_5,69046,28861,40185,5,5086,Pending
39,Customer_11,182502,105143,77359,10,11899,Pending
40,Customer_6,111270,37038,74232,20,5129,Pending
41,Customer_9,137183,52401,84782,60,7656,Pending
42,Customer_6,171623,102098,69525,10,13488,Pending
43,Customer_4,124229,29620,94609,5,14848,Pending
44,Customer_2,65905,10118,55787,60,13703,Pending
45,Customer_9,148424,20614,127810,10,4994,Pending
46,Customer_14,114587,85463,29124,10,4234,Pending
47,Customer_6,36985,21724,15261,0,0,Pending
48,Customer_1,65212,32478,32734,0,0,Pending
49,Customer_6,32491,29891,2600,10,12345,Pending
50,Customer_2,171543,72772,98771,5,5369,Pending
51,Customer_12,125573,28282,97291,20,6281,Pending
52,Customer_19,195748,139921,55827,0,0,Pending
53,Customer_9,122608,84342,38266,5,4485,Pending
54,Customer_18,90804,3743,87061,0,0,Pending
55,Customer_13,81724,47510,34214,60,10534,Pending
56,Customer_11,48390,259,48131,15,10856,Pending
57,Customer_14,136779,28294,108485,0,0,Pending
58,Customer_9,58411,27070,31341,5,9539,Pending
59,Customer_2,104872,94064,10808,15,11646,Pending
60,Customer_7,196038,36460,159578,60,9015,Pending
61,Customer_15,195771,44631,151140,60,12288,Pending
62,Customer_14,191821,98759,93062,0,0,Pending
63,Customer_12,94314,53995,40319,15,2719,Pending
64,Customer_16,98932,49516,49416,10,11258,Pending
65,Customer_10,137300,13248,124052,15,2256,Pending
66,Customer_19,56490,49872,6618,60,8561,Pending
67,Customer_19,51580,14657,36923,60,2765,Pending
68,Customer_2,154602,38162,116440,60,12694,Pending
69,Customer_17,122205,76621,45584,45,6279,Pending
70,Customer_9,81194,2983,78211,5,12022,Pending
71,Customer_9,36260,12798,23462,45,6941,Pending
72,Customer_16,51709,15322,36387,60,13688,Pending
73,Customer_7,88746,8852,79894,10,4677,Pending
74,Customer_16,78055,51711,26344,60,8301,Pending
75,Customer_17,163410,27275,136135,20,3027,Pending
76,Customer_6,146137,134198,11939,10,10698,Pending
77,Customer_5,74799,23830,50969,5,12668,Pending
78,Customer_3,96698,9487,87211,5,12494,Pending
79,Customer_7,161684,94048,67636,15,4304,Pending
80,Customer_19,120452,49607,70845,15,3393,Pending
81,Customer_20,152096,32942,119154,20,12473,Pending
82,Customer_7,183861,58677,125184,15,12066,Pending
83,Customer_3,114507,108848,5659,60,9390,Pending
84,Customer_19,35770,25165,10605,60,6836,Pending
85,Customer_11,47512,22233,25279,45,8482,Pending
86,Customer_16,146734,8636,138098,10,14636,Pending
87,Customer_16,168703,110299,58404,60,9585,Pending
88,Customer_19,85689,49628,36061,45,12791,Pending
89,Customer_9,159487,56476,103011,10,3017,Pending
90,Customer_19,139648,129185,10463,30,13395,Pending
91,Customer_19,38508,15391,23117,60,2675,Pending
92,Customer_17,47344,5789,41555,20,5312,Pending
93,Customer_12,56738,4527,52211,15,5019,Pending
94,Customer_17,199558,185227,14331,10,13209,Pending
95,Customer_3,137940,78917,59023,0,0,Pending
96,Customer_16,189361,156180,33181,10,7968,Pending
97,Customer_18,173380,125664,47716,10,4875,Pending
98,Customer_18,152194,78125,74069,5,11485,Pending
99,Customer_20,141908,72003,69905,60,3549,Pending
100,Customer_6,198049,197837,212,60,7461,Pending
